__time,/arm_controller/controller_state/error/positions[0],/arm_controller/controller_state/error/positions[1],/arm_controller/controller_state/error/positions[2],/arm_controller/controller_state/error/time_from_start/nanosec,/arm_controller/controller_state/error/time_from_start/sec,/arm_controller/controller_state/feedback/positions[0],/arm_controller/controller_state/feedback/positions[1],/arm_controller/controller_state/feedback/positions[2],/arm_controller/controller_state/feedback/time_from_start/nanosec,/arm_controller/controller_state/feedback/time_from_start/sec,/arm_controller/controller_state/header/stamp/nanosec,/arm_controller/controller_state/header/stamp/sec,/arm_controller/controller_state/multi_dof_error/time_from_start/nanosec,/arm_controller/controller_state/multi_dof_error/time_from_start/sec,/arm_controller/controller_state/multi_dof_feedback/time_from_start/nanosec,/arm_controller/controller_state/multi_dof_feedback/time_from_start/sec,/arm_controller/controller_state/multi_dof_output/time_from_start/nanosec,/arm_controller/controller_state/multi_dof_output/time_from_start/sec,/arm_controller/controller_state/multi_dof_reference/time_from_start/nanosec,/arm_controller/controller_state/multi_dof_reference/time_from_start/sec,/arm_controller/controller_state/output/positions[0],/arm_controller/controller_state/output/positions[1],/arm_controller/controller_state/output/positions[2],/arm_controller/controller_state/output/time_from_start/nanosec,/arm_controller/controller_state/output/time_from_start/sec,/arm_controller/controller_state/reference/accelerations[0],/arm_controller/controller_state/reference/accelerations[1],/arm_controller/controller_state/reference/accelerations[2],/arm_controller/controller_state/reference/positions[0],/arm_controller/controller_state/reference/positions[1],/arm_controller/controller_state/reference/positions[2],/arm_controller/controller_state/reference/time_from_start/nanosec,/arm_controller/controller_state/reference/time_from_start/sec,/arm_controller/controller_state/reference/velocities[0],/arm_controller/controller_state/reference/velocities[1],/arm_controller/controller_state/reference/velocities[2],/arm_controller/controller_state/speed_scaling_factor,/gripper_controller/controller_state/error/positions[0],/gripper_controller/controller_state/error/time_from_start/nanosec,/gripper_controller/controller_state/error/time_from_start/sec,/gripper_controller/controller_state/feedback/positions[0],/gripper_controller/controller_state/feedback/time_from_start/nanosec,/gripper_controller/controller_state/feedback/time_from_start/sec,/gripper_controller/controller_state/header/stamp/nanosec,/gripper_controller/controller_state/header/stamp/sec,/gripper_controller/controller_state/multi_dof_error/time_from_start/nanosec,/gripper_controller/controller_state/multi_dof_error/time_from_start/sec,/gripper_controller/controller_state/multi_dof_feedback/time_from_start/nanosec,/gripper_controller/controller_state/multi_dof_feedback/time_from_start/sec,/gripper_controller/controller_state/multi_dof_output/time_from_start/nanosec,/gripper_controller/controller_state/multi_dof_output/time_from_start/sec,/gripper_controller/controller_state/multi_dof_reference/time_from_start/nanosec,/gripper_controller/controller_state/multi_dof_reference/time_from_start/sec,/gripper_controller/controller_state/output/positions[0],/gripper_controller/controller_state/output/time_from_start/nanosec,/gripper_controller/controller_state/output/time_from_start/sec,/gripper_controller/controller_state/reference/accelerations[0],/gripper_controller/controller_state/reference/positions[0],/gripper_controller/controller_state/reference/time_from_start/nanosec,/gripper_controller/controller_state/reference/time_from_start/sec,/gripper_controller/controller_state/reference/velocities[0],/gripper_controller/controller_state/speed_scaling_factor,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_2/position,/joint_states/joint_3/position,/joint_states/joint_4/position,/tf/gripper_base/gripper_L/rotation/pitch,/tf/gripper_base/gripper_L/rotation/roll,/tf/gripper_base/gripper_L/rotation/w,/tf/gripper_base/gripper_L/rotation/x,/tf/gripper_base/gripper_L/rotation/y,/tf/gripper_base/gripper_L/rotation/yaw,/tf/gripper_base/gripper_L/rotation/z,/tf/gripper_base/gripper_L/translation/x,/tf/gripper_base/gripper_L/translation/y,/tf/gripper_base/gripper_L/translation/z,/tf/gripper_base/gripper_R/rotation/pitch,/tf/gripper_base/gripper_R/rotation/roll,/tf/gripper_base/gripper_R/rotation/w,/tf/gripper_base/gripper_R/rotation/x,/tf/gripper_base/gripper_R/rotation/y,/tf/gripper_base/gripper_R/rotation/yaw,/tf/gripper_base/gripper_R/rotation/z,/tf/gripper_base/gripper_R/translation/x,/tf/gripper_base/gripper_R/translation/y,/tf/gripper_base/gripper_R/translation/z,/tf/h_arm/motor_3/rotation/pitch,/tf/h_arm/motor_3/rotation/roll,/tf/h_arm/motor_3/rotation/w,/tf/h_arm/motor_3/rotation/x,/tf/h_arm/motor_3/rotation/y,/tf/h_arm/motor_3/rotation/yaw,/tf/h_arm/motor_3/rotation/z,/tf/h_arm/motor_3/translation/x,/tf/h_arm/motor_3/translation/y,/tf/h_arm/motor_3/translation/z,/tf/motor_2/h_arm/rotation/pitch,/tf/motor_2/h_arm/rotation/roll,/tf/motor_2/h_arm/rotation/w,/tf/motor_2/h_arm/rotation/x,/tf/motor_2/h_arm/rotation/y,/tf/motor_2/h_arm/rotation/yaw,/tf/motor_2/h_arm/rotation/z,/tf/motor_2/h_arm/translation/x,/tf/motor_2/h_arm/translation/y,/tf/motor_2/h_arm/translation/z,/tf/razor_connector/motor_2/rotation/pitch,/tf/razor_connector/motor_2/rotation/roll,/tf/razor_connector/motor_2/rotation/w,/tf/razor_connector/motor_2/rotation/x,/tf/razor_connector/motor_2/rotation/y,/tf/razor_connector/motor_2/rotation/yaw,/tf/razor_connector/motor_2/rotation/z,/tf/razor_connector/motor_2/translation/x,/tf/razor_connector/motor_2/translation/y,/tf/razor_connector/motor_2/translation/z
1777117209.940968,0.001533578,0.000000000,-0.001533578,0.000000000,0.000000000,-0.004217338,0.008818071,0.002683761,9995586.000000000,90.000000000,940851038.000000000,1777117209.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002683761,0.008818071,0.001150183,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002683761,0.008818071,0.001150183,9995105.000000000,90.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777117209.940995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1777117209.940917492,-0.004217338,0.008818071,0.002683761,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777117209.941048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,830159746.000000000,219.000000000,940958745.000000000,1777117209.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,830163634.000000000,219.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777117209.950980,0.001533578,0.000000000,-0.001533578,0.000000000,0.000000000,-0.004217338,0.008818071,0.002683761,20001597.000000000,90.000000000,950857049.000000000,1777117209.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002683761,0.008818071,0.001150183,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002683761,0.008818071,0.001150183,20000634.000000000,90.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777117209.951011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1777117209.950925827,-0.004217338,0.008818071,0.002683761,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777117209.951054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,840173201.000000000,219.000000000,950972200.000000000,1777117209.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,840176960.000000000,219.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777117209.961003,0.001533578,0.000000000,-0.001533578,0.000000000,0.000000000,-0.004217338,0.008818071,0.002683761,30018497.000000000,90.000000000,960873949.000000000,1777117209.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002683761,0.008818071,0.001150183,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002683761,0.008818071,0.001150183,30018201.000000000,90.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777117209.961083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,850192157.000000000,219.000000000,960991156.000000000,1777117209.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,850195675.000000000,219.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777117209.961156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1777117209.960944414,-0.004217338,0.008818071,0.002683761,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777117209.970976,0.001533578,0.000000000,-0.001533578,0.000000000,0.000000000,-0.004217338,0.008818071,0.002683761,40000118.000000000,90.000000000,970855570.000000000,1777117209.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002683761,0.008818071,0.001150183,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.002683761,0.008818071,0.001150183,39999433.000000000,90.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
