time_sec,joint_1_pwm_us,joint_2_pwm_us,joint_3_pwm_us,joint_4_pwm_us
16.154125823,1651,1593,2132,500
16.254125823,1706,1593,2132,500
16.354125823,1758,1593,2132,500
16.454125823,1809,1593,2132,500
16.554125823,1858,1593,2132,500
16.654125823,1905,1593,2132,500
16.754125823,1949,1593,2132,500
16.854125823,1992,1593,2132,500
16.954125823,2034,1593,2132,500
17.054125823,2073,1593,2132,500
17.154125823,2110,1593,2132,500
17.254125823,2145,1593,2132,500
17.354125823,2179,1593,2132,500
17.454125823,2210,1593,2132,500
17.554125823,2240,1593,2132,500
17.654125823,2268,1593,2132,500
17.754125823,2293,1593,2132,500
17.854125823,2317,1593,2132,500
17.954125823,2339,1593,2132,500
18.054125823,2359,1593,2132,500
18.154125823,2378,1593,2132,500
18.254125823,2394,1593,2132,500
18.354125823,2408,1593,2132,500
18.454125823,2421,1593,2132,500
18.554125823,2431,1593,2132,500
18.654125823,2440,1593,2132,500
18.754125823,2446,1593,2132,500
18.854125823,2451,1593,2132,500
18.954125823,2454,1593,2132,500
19.054125823,2455,1593,2132,500
19.054126204,2455,1593,2132,500
19.154126204,2454,1593,2132,500
19.254126204,2451,1593,2132,500
19.354126204,2446,1593,2132,500
19.454126203999998,2440,1593,2132,500
19.554126204,2431,1593,2132,500
19.654126204,2421,1593,2132,500
19.754126204,2408,1593,2132,500
19.854126204,2394,1593,2132,500
19.954126203999998,2378,1593,2132,500
20.054126204,2359,1593,2132,500
20.154126204,2339,1593,2132,500
20.254126204,2317,1593,2132,500
20.354126204,2293,1593,2132,500
20.454126203999998,2268,1593,2132,500
20.554126204,2240,1593,2132,500
20.654126204,2210,1593,2132,500
20.754126204,2179,1593,2132,500
20.854126204,2145,1593,2132,500
20.954126203999998,2110,1593,2132,500
21.054126204,2073,1593,2132,500
21.154126204,2034,1593,2132,500
21.254126204,1992,1593,2132,500
21.354126204,1950,1593,2132,500
21.454126203999998,1905,1593,2132,500
21.554126204,1858,1593,2132,500
21.654126204,1809,1593,2132,500
21.754126204,1758,1593,2132,500
21.854126204,1706,1593,2132,500
21.954126203999998,1651,1593,2132,500
22.054126204,1595,1593,2132,500
22.154126204,1539,1593,2132,500
22.254126204,1484,1593,2132,500
22.354126204,1432,1593,2132,500
22.454126203999998,1381,1593,2132,500
22.554126204,1332,1593,2132,500
22.654126204,1285,1593,2132,500
22.754126204,1241,1593,2132,500
22.854126204,1198,1593,2132,500
22.954126203999998,1157,1593,2132,500
23.054126204,1117,1593,2132,500
23.154126204,1080,1593,2132,500
23.254126204,1045,1593,2132,500
23.354126204,1011,1593,2132,500
23.454126203999998,980,1593,2132,500
23.554126204,950,1593,2132,500
23.654126204,922,1593,2132,500
23.754126204,897,1593,2132,500
23.854126204,873,1593,2132,500
23.954126203999998,851,1593,2132,500
24.054126204,831,1593,2132,500
24.154126204,813,1593,2132,500
24.254126204,796,1593,2132,500
24.354126204,782,1593,2132,500
24.454126203999998,770,1593,2132,500
24.554126204,759,1593,2132,500
24.654126204,750,1593,2132,500
24.754126204,744,1593,2132,500
24.854126204,739,1593,2132,500
24.954126203999998,736,1593,2132,500
25.054126204,735,1593,2132,500
25.054126585,735,1593,2132,500
25.154126585,736,1593,2132,500
25.254126584999998,739,1593,2132,500
25.354126585,744,1593,2132,500
25.454126584999997,750,1593,2132,500
25.554126585,759,1593,2132,500
25.654126585,770,1593,2132,500
25.754126584999998,782,1593,2132,500
25.854126585,796,1593,2132,500
25.954126584999997,813,1593,2132,500
26.054126585,831,1593,2132,500
26.154126585,851,1593,2132,500
26.254126584999998,873,1593,2132,500
26.354126585,897,1593,2132,500
26.454126584999997,922,1593,2132,500
26.554126585,950,1593,2132,500
26.654126585,980,1593,2132,500
26.754126584999998,1011,1593,2132,500
26.854126585,1045,1593,2132,500
26.954126584999997,1080,1593,2132,500
27.054126585,1117,1593,2132,500
27.154126585,1157,1593,2132,500
27.254126584999998,1198,1593,2132,500
27.354126585,1241,1593,2132,500
27.454126584999997,1285,1593,2132,500
27.554126585,1332,1593,2132,500
27.654126585,1381,1593,2132,500
27.754126584999998,1432,1593,2132,500
27.854126585,1484,1593,2132,500
27.954126584999997,1539,1593,2132,500
28.054126585,1595,1593,2132,500
28.154126585,1651,1593,2132,500
28.254126584999998,1706,1593,2132,500
28.354126585,1758,1593,2132,500
28.454126584999997,1809,1593,2132,500
28.554126585,1858,1593,2132,500
28.654126585,1905,1593,2132,500
28.754126584999998,1949,1593,2132,500
28.854126585,1992,1593,2132,500
28.954126584999997,2034,1593,2132,500
29.054126585,2073,1593,2132,500
29.154126585,2110,1593,2132,500
29.254126584999998,2145,1593,2132,500
29.354126585,2179,1593,2132,500
29.454126584999997,2210,1593,2132,500
29.554126585,2240,1593,2132,500
29.654126585,2268,1593,2132,500
29.754126584999998,2293,1593,2132,500
29.854126585,2317,1593,2132,500
29.954126584999997,2339,1593,2132,500
30.054126585,2359,1593,2132,500
30.154126585,2378,1593,2132,500
30.254126584999998,2394,1593,2132,500
30.354126585,2408,1593,2132,500
30.454126584999997,2421,1593,2132,500
30.554126585,2431,1593,2132,500
30.654126585,2440,1593,2132,500
30.754126584999998,2446,1593,2132,500
30.854126585,2451,1593,2132,500
30.954126584999997,2454,1593,2132,500
31.054126585,2455,1593,2132,500
31.054126966,2455,1593,2132,500
