index,time_sec,joint_1_rad,joint_1_deg,joint_1_pwm_us,joint_2_rad,joint_2_deg,joint_2_pwm_us,joint_3_rad,joint_3_deg,joint_3_pwm_us,joint_4_rad,joint_4_deg,joint_4_pwm_us
0,0.0,0.0,0.0,1500,0.0,0.0,1169,0.0,0.0,1500,0.0,0.0,500
1,0.1,5.473500355761546e-19,3.136084695484912e-17,1500,0.0014999999999999974,0.08594366926962334,1170,0.001499999999999998,0.08594366926962338,1501,0.0,0.0,500
2,0.2,2.1894001423046144e-18,1.2544338781939625e-16,1500,0.0059999999999999784,0.3437746770784927,1174,0.005999999999999981,0.34377467707849285,1507,0.0,0.0,500
3,0.30000000000000004,4.926150320185385e-18,2.8224762259364167e-16,1500,0.013499999999999958,0.773493023426609,1180,0.013499999999999963,0.7734930234266093,1517,0.0,0.0,500
4,0.4,8.757600569218482e-18,5.017735512775864e-16,1500,0.023999999999999987,1.375098708313975,1189,0.023999999999999994,1.3750987083139754,1530,0.0,0.0,500
5,0.5,1.3683750083773803e-17,7.840211277120256e-16,1500,0.03749999779218954,2.148591605242366,1201,0.037499997792189564,2.148591605242367,1547,0.0,0.0,500
6,0.6000000000000001,1.9704597677565246e-17,1.1289902839277723e-15,1500,0.05399999012557929,3.0939715279438134,1215,0.053999990125579315,3.093971527943815,1568,0.0,0.0,500
7,0.7000000000000001,2.6820144811058115e-17,1.5366811036033247e-15,1500,0.07349998100254027,4.211238705737286,1231,0.07349998100254031,4.211238705737289,1593,0.0,0.0,500
8,0.8,3.5030390959044466e-17,2.0070935566464842e-15,1500,0.09599996898375239,5.5003930561558185,1250,0.09599996898375243,5.500393056155821,1621,0.0,0.0,500
9,0.9,4.433533638359225e-17,2.540227658072638e-15,1500,0.12149995478740677,6.961434620348729,1272,0.1214999547874068,6.961434620348731,1653,0.0,0.0,500
10,1.0,5.473498101175579e-17,3.1360834037023073e-15,1500,0.14999993821359742,8.594363386862248,1296,0.1499999382135975,8.594363386862254,1689,0.0,0.0,500
11,1.1,6.622932469334705e-17,3.794660784930351e-15,1500,0.18149991885073757,10.399179332114194,1323,0.18149991885073768,10.399179332114201,1729,0.0,0.0,500
12,1.2,7.881836736162903e-17,4.515959797933021e-15,1500,0.21599989651593607,12.375882445625672,1352,0.21599989651593618,12.375882445625678,1773,0.0,0.0,500
13,1.3,9.249323209997217e-17,5.2994718328523536e-15,1500,0.2534755442263138,14.523078893949423,1384,0.25347554422631396,14.523078893949432,1820,0.0,0.0,500
14,1.4,1.0597981901754872e-16,6.07219634326584e-15,1500,0.2904352209623723,16.640712383093426,1415,0.29043522096237245,16.640712383093437,1867,0.0,0.0,500
15,1.5,1.1837170586397304e-16,6.782199159769633e-15,1500,0.324394897698431,18.5864585336982,1444,0.32439489769843116,18.58645853369821,1910,0.0,0.0,500
16,1.6,1.29668892639245e-16,7.429480282363724e-15,1500,0.3553545744344896,20.360317345763715,1470,0.3553545744344897,20.360317345763722,1949,0.0,0.0,500
